#{"t_start": 1663259016.4642055, "env_id": null}
r,l,t,is_success
-30.482193,7,1323.274831,
-14.0,3,1323.533151,
-156.11325,33,1324.414939,
-18.0,5,1324.713367,
-12.888889,4,1324.990891,
-21.262112,20,1325.57273,
-9.853277,7,1325.91045,
-8.444445,8,1326.271687,
-14.0,3,1326.508147,
-26.817665,13,1326.966419,
-58.742165,14,1327.445349,
-7.779916,9,1327.834028,
-93.926636,20,1328.444688,
-12.888889,4,1328.723142,
-12.888889,4,1328.997004,
-14.0,3,1329.265168,
-12.888889,4,1329.528442,
-10.002137,7,1329.865829,
-14.0,3,1330.127365,
-8.964388,5,1330.423655,
-14.0,3,1330.673762,
-71.40883,16,1331.196014,
-31.893164,22,1331.847953,
-83.37108,14,1332.637792,
-16.0,4,1332.897665,
-101.63318,24,1333.528525,
-33.18661,16,1334.010534,
-12.742166,10,1334.416825,
-12.888889,4,1334.691706,
-16.0,4,1334.961485,
-6.742166,8,1335.311698,
-73.964386,19,1335.855663,
-13.853277,10,1336.24479,
-139.03989,21,1336.821668,
-5.6310544,10,1337.217031,
-56.519943,17,1337.750849,
-10.002137,8,1338.100488,
-30.891026,11,1338.489032,
-12.888889,4,1338.747341,
-14.0,3,1338.982193,
-7.779916,11,1339.391965,
-11.777778,5,1339.692708,
-7.8532763,6,1340.014286,
-37.70656,25,1340.693727,
-50.964386,11,1341.0999,
-14.0,4,1341.384595,
-14.0,3,1341.674538,
-14.0,4,1341.950423,
-17.408833,14,1342.426562,
-28.0,10,1343.057853,
-40.002136,10,1343.693161,
-16.0,4,1343.972142,
-8.891027,9,1344.323405,
-70.964386,13,1344.773684,
-24.891026,9,1345.162658,
-108.742165,19,1345.736479,
-114.85328,23,1346.388781,
-14.0,3,1346.629946,
-24.446583,18,1347.179874,
-11.777778,5,1347.448219,
-9.4088335,13,1347.87614,
-28.375357,25,1348.598585,
-14.0,3,1348.827545,
-8.964388,5,1349.131163,
-18.742165,9,1349.504345,
-9.555555,8,1349.848853,
-8.964388,5,1350.147197,
-61.926636,12,1350.595406,
-8.964388,5,1350.881249,
-14.0,3,1351.087726,
-45.29772,19,1351.618686,
-14.964388,8,1351.96992,
-0.0021390915,17,1352.464022,
-14.0,3,1352.712439,
-14.0,3,1352.970836,
-12.964388,7,1353.316216,
-98.964386,15,1354.003109,
-43.633194,19,1354.581591,
-16.0,4,1354.838936,
-0.37322044,15,1355.317907,
-66.964386,10,1355.702898,
-16.0,4,1355.959431,
-13.555555,9,1356.307845,
-5.4088326,11,1356.699514,
-5.4088326,11,1357.088691,
-16.0,4,1357.368357,
-12.888889,5,1357.666363,
-12.888889,4,1357.946693,
-8.964388,5,1358.229273,
-14.0,3,1358.488251,
-10.666666,6,1358.809927,
-30.002136,10,1359.201057,
-145.59544,24,1359.886004,
-12.888889,4,1360.135026,
-16.0,4,1360.415072,
-31.262112,20,1361.006124,
-16.519943,12,1361.424571,
-14.0,3,1361.684952,
-12.888889,4,1361.95472,
-27.631056,11,1362.610527,
-50.25997,11,1363.056826,
3.846859,21,1363.671997,
-22.482193,6,1363.9915,
-14.0,3,1364.242827,
-27.706553,14,1364.964988,
-9.853276,7,1365.276861,
-26.224361,21,1365.866093,
-14.888889,5,1366.169846,
-10.593306,13,1366.627478,
-12.888889,4,1366.861285,
-22.482193,6,1367.170427,
-14.0,3,1367.38308,
-53.11325,12,1367.79668,
-44.482193,9,1368.167675,
0.8112507,17,1368.710195,
-12.888889,4,1368.962934,
-11.777778,5,1369.265951,
-11.777778,5,1369.557903,
-14.888889,5,1369.841043,
-14.0,3,1370.099428,
-14.0,3,1370.353289,
-14.888889,6,1370.670053,
-49.039886,12,1371.084749,
-5.631055,8,1371.420303,
-14.888889,6,1371.712498,
-14.888889,6,1372.024026,
-8.8910265,8,1372.369821,
-5.186612,14,1372.836387,
-18.0,5,1373.133191,
-16.0,5,1373.422297,
-12.888889,4,1373.67318,
-6.668805,12,1374.151455,
-14.0,3,1374.435143,
-5.631055,10,1374.864639,
-13.777778,7,1375.224081,
-24.891026,8,1375.592628,
-14.0,3,1375.872635,
-8.444445,9,1376.27655,
-6.7421656,8,1376.985945,
-14.888889,5,1377.313674,
-57.075497,15,1377.839228,
-11.777778,5,1378.1598,
-14.0,3,1378.447679,
-7.333334,13,1378.936173,
-7.8532767,6,1379.324852,
-7.779916,9,1379.742914,
-14.0,3,1380.002196,
-4.817665,10,1380.46252,
-20.742165,11,1380.882527,
-14.0,3,1381.406304,
-4.297722,13,1381.862847,
-30.964388,10,1382.264868,
-12.888889,4,1382.541744,
-31.299862,25,1383.239258,
-125.89102,32,1384.077996,
-12.888889,4,1384.355036,
-76.96653,17,1384.902889,
-14.0,3,1385.151618,
-40.25997,10,1385.547973,
-14.0,3,1385.775968,
-18.0,5,1386.051399,
-7.8532763,6,1291.44743,
-14.815527,10,1291.83429,
-8.964388,6,1292.11094,
-0.9643898,15,1292.564276,
-8.444445,8,1292.899861,
-12.888889,4,1293.173612,
-16.0,4,1293.444732,
-10.666666,6,1293.7639,
-14.0,3,1294.035113,
2.6623917,16,1294.546475,
-14.0,3,1294.793126,
-9.559831,20,1295.395756,
-14.0,3,1295.634492,
-3.4088335,10,1295.996413,
-14.0,3,1296.233262,
-23.41097,20,1296.803173,
-14.0,3,1297.073756,
-11.777778,7,1297.373298,
-10.666666,7,1297.685918,
-14.0,3,1297.95735,
