#{"t_start": 1665418421.216946, "env_id": null}
r,l,t,is_success
--14.0,3,6181.802437,
-7.779916,9,6182.207597,
-76.48219,17,6182.800288,
-14.0,3,6183.087404,
-14.0,3,6183.394639,
-8.964388,6,6183.761529,
-28.891026,11,6184.214614,
-12.815527,7,6184.581868,
-14.0,3,6184.852599,
-22.482193,6,6185.171751,
-14.0,3,6185.438861,
-35.779915,11,6185.85716,
-12.888889,4,6186.138996,
-74.89102,18,6186.701236,
-14.0,3,6186.96778,
-20.964388,7,6187.31164,
-12.888889,4,6187.603196,
-14.0,3,6187.875744,
-8.964388,6,6188.211874,
-16.88889,6,6188.552197,
-14.0,3,6188.822011,
-16.88889,6,6189.157836,
-22.482193,6,6189.498229,
-8.964388,5,6189.828338,
-10.964388,6,6190.162866,
-58.891026,14,6190.662565,
-8.964388,5,6190.96372,
-9.853276,7,6191.319384,
-11.704416,8,6191.66908,
-28.891026,10,6192.085573,
-14.0,3,6192.349286,
-30.891026,11,6192.761978,
-8.964388,5,6193.08849,
-14.0,3,6193.357511,
-55.151,18,6193.887098,
-22.482193,6,6194.227124,
-8.891027,8,6194.636092,
-12.888889,4,6194.928481,
-10.964388,6,6195.272768,
-14.0,4,6195.575687,
-14.0,3,6195.850736,
-8.964388,5,6196.145314,
-10.964388,6,6196.484555,
-10.964388,6,6196.795838,
-30.964388,9,6197.150836,
-7.8532767,6,6197.486596,
-8.891027,8,6197.85116,
-12.888889,4,6198.148464,
-8.891027,8,6198.522034,
-8.964388,5,6199.039865,
-9.853276,8,6199.419989,
-14.0,3,6199.696504,
-121.926636,25,6200.40819,
-14.0,3,6200.680571,
-7.7065554,12,6201.109468,
-14.0,3,6201.393973,
-14.0,3,6201.665183,
-14.0,3,6201.913835,
-90.964386,15,6202.401674,
-55.151,17,6202.952788,
-12.888889,4,6203.263354,
-8.964388,5,6204.203799,
-8.891027,8,6204.523832,
-29.446583,10,6204.90773,
-8.891027,8,6205.275644,
-155.44658,31,6206.099391,
-14.0,3,6206.379859,
-14.0,3,6206.640303,
-38.964386,8,6207.002581,
-14.0,3,6207.259871,
-29.446583,10,6207.654156,
-8.964388,5,6207.937061,
-10.964388,6,6208.261015,
-68.89103,14,6208.720238,
-14.0,3,6208.995188,
-8.964388,5,6209.311126,
-22.482193,6,6209.651004,
-12.888889,4,6209.952374,
-12.815527,7,6210.310703,
-14.0,3,6210.590011,
-8.964388,5,6210.916236,
-14.0,3,6211.183453,
-12.815527,7,6211.532451,
-22.482193,6,6211.890553,
-49.44658,12,6212.327059,
-28.002136,9,6212.700399,
-8.891027,9,6213.093442,
-10.964388,6,6213.42363,
-28.891026,10,6213.834044,
-12.888889,4,6214.116948,
-8.742166,8,6214.493679,
-14.0,3,6214.744493,
-14.0,3,6215.006833,
-14.0,3,6215.272423,
-8.964388,5,6215.594594,
-68.89103,14,6216.094451,
-8.891027,8,6216.462213,
-10.964388,6,6216.779875,
-8.964388,5,6217.083828,
-14.0,3,6217.555748,
-12.888889,4,6217.849355,
-22.482193,6,6218.198321,
-8.964388,5,6218.505364,
-14.0,3,6218.778606,
-8.891027,8,6219.151065,
-8.964388,5,6219.460198,
-54.40883,13,6219.927851,
-28.891026,10,6220.335132,
-14.0,3,6220.593462,
-66.964386,15,6221.097564,
-14.0,3,6221.388274,
-71.29772,16,6221.929655,
-30.964388,9,6222.309718,
-14.0,3,6222.593882,
-22.482193,6,6222.909416,
-70.964386,13,6223.36782,
-30.964388,9,6223.748728,
-8.964388,5,6224.035966,
-30.964388,10,6224.400245,
-14.0,3,6224.677457,
-5.853277,5,6224.980608,
-10.964388,6,6225.309897,
-14.0,3,6225.553549,
-30.964388,9,6225.929789,
-55.150997,17,6226.473904,
-22.482193,6,6226.794169,
-8.964388,5,6227.119441,
-14.0,3,6227.919964,
-8.891027,8,6228.301001,
-14.0,3,6228.562258,
-25.853277,7,6228.91436,
-14.0,3,6229.197814,
-8.964388,5,6229.513197,
-8.891027,9,6229.88943,
-17.077639,17,6230.386493,
-14.0,3,6230.666477,
-12.888889,4,6230.940803,
-8.964388,5,6231.241326,
-8.964388,5,6231.521228,
-8.964388,6,6231.843228,
-14.0,3,6232.111908,
-8.891027,8,6232.499807,
-14.0,4,6232.789058,
-12.888889,4,6233.071646,
-14.0,3,6233.341492,
-14.0,4,6233.607459,
-14.0,3,6233.890921,
-8.891027,8,6234.282361,
-28.891026,10,6234.707951,
-50.40883,11,6235.345777,
-14.0,3,6235.65303,
-14.0,3,6235.915224,
-80.964386,14,6236.401815,
-28.891026,10,6236.817015,
-22.482193,6,6237.146447,
-8.964388,5,6237.449528,
-118.964386,20,6238.062214,
-14.0,3,6238.349528,
-14.0,3,6238.628103,
-14.0,3,6238.910258,
-37.077637,19,6239.493927,
-77.29772,15,6240.000415,
-28.002136,9,6240.401672,
-14.0,3,6240.647783,
-14.0,3,6240.922332,
-28.891026,10,6241.325394,
-8.964388,6,6241.666366,
-22.482193,6,6242.014221,
-14.0,3,6242.292036,
-14.0,3,6242.541069,
-22.482193,6,6242.874161,
-8.891027,8,6243.2461,
-14.0,3,6243.532425,
-15.002138,17,6244.091849,
-30.964388,10,6244.503852,
-14.0,3,6244.769688,
-8.964388,5,6245.069972,
-10.002137,7,6245.401512,
-12.815527,7,6245.740873,
-16.0,4,6246.029917,
-8.964388,5,6246.349763,
-9.853276,7,6246.709288,
-14.0,3,6246.989037,
-29.853277,9,6247.381297,
-16.88889,6,6247.721709,
-8.891027,8,6248.059991,
-8.891027,8,6248.421185,
-30.964388,9,6248.818237,
-8.964388,5,6249.137887,
-14.0,3,6249.412335,
-92.48219,14,6249.89519,
-5.7065535,11,6250.317797,
-8.964388,5,6250.630438,
-17.777779,8,6251.54839,
-16.0,4,6251.844256,
-22.670944,16,6252.363354,
-14.0,3,6252.635113,
-14.0,3,6252.918948,
-9.853276,7,6253.278049,
-14.0,3,6253.760458,
-8.964388,5,6254.06346,
-114.33547,23,6254.763527,
-8.891027,8,6255.114152,
-8.964388,5,6255.395087,
-14.0,4,6255.693135,
-10.964388,7,6256.041397,
-12.888889,4,6256.318887,
-8.964388,5,6256.636236,
-12.888889,4,6256.932712,
-14.0,3,6257.199519,
-29.853277,9,6257.593505,
-14.0,3,6257.866509,
-8.891027,8,6258.229748,
-30.964388,9,6258.639503,
-8.964388,5,6258.961363,
-22.482193,6,6259.298975,
-8.964388,5,6259.620159,
-24.482193,7,6259.981418,
-12.888889,4,6260.291557,
-8.964388,5,6260.589623,
-4.817664,9,6260.951577,
-104.48219,16,6261.479381,
-8.891027,8,6261.857596,
-12.815527,7,6262.218633,
-9.853277,7,6262.561459,
-12.888889,4,6262.853053,
-8.964388,5,6263.13668,
-14.0,3,6263.416499,
-14.0,3,6263.69058,
-8.964388,5,6264.014403,
-14.0,3,6264.284685,
-8.891027,8,6264.640904,
-73.926636,17,6265.164351,
-8.964388,5,6265.474903,
-54.964386,13,6265.962201,
-7.9266386,3,6266.239242,
-66.48219,16,6266.757525,
-14.0,3,6267.032664,
-4.7443037,12,6267.481966,
-8.964388,6,6267.82033,
-94.48219,18,6268.394451,
