#{"t_start": 1663049769.2417712, "env_id": null}
r,l,t,is_success
225.55594,216,6579.329826,
224.44484,212,6586.775295,
220.00038,200,6592.959208,
220.0004,188,6599.956187,
222.22261,209,6607.450555,
222.22261,191,6613.291849,
220.0004,184,6620.348454,
220.0004,205,6626.421253,
222.22261,210,6633.880887,
223.33371,210,6641.311757,
218.88928,191,6646.992894,
224.44482,213,6654.365102,
227.77817,220,6662.094678,
220.0004,185,6667.782891,
223.33371,190,6674.587638,
220.00038,199,6680.538471,
220.00038,198,6687.733733,
220.00038,200,6694.955073,
220.00038,199,6701.015376,
220.0004,192,6708.125393,
227.77817,219,6715.665796,
220.0004,196,6721.573159,
224.44482,213,6728.874413,
222.2226,192,6734.525241,
221.11151,191,6741.453824,
222.2226,209,6748.700966,
221.11151,202,6754.521512,
221.11151,207,6761.773971,
220.0004,196,6767.813525,
222.22261,208,6775.151729,
223.33372,190,6780.851842,
221.11148,206,6788.163581,
218.88928,204,6795.331554,
224.44484,214,6801.705535,
220.0004,186,6808.794016,
220.0004,186,6814.651088,
224.44484,212,6822.114182,
220.0004,189,6829.111344,
220.0004,192,6835.073667,
220.0004,188,6842.025176,
225.55594,215,6848.337327,
220.00038,199,6855.731187,
224.44482,192,6862.729374,
224.44482,214,6869.029893,
220.0004,184,6875.979001,
223.33372,210,6882.240008,
220.0004,193,6889.408694,
220.00038,190,6896.495683,
220.0004,190,6902.392642,
223.33371,191,6909.691027,
222.22261,190,6915.544333,
220.0004,187,6922.745616,
220.00038,197,6928.8503,
218.88928,204,6936.14329,
220.00038,199,6943.538757,
220.0004,185,6949.396414,
220.00038,199,6956.735403,
220.0004,189,6962.417315,
223.33371,211,6969.645852,
220.0004,186,6975.326616,
221.11148,208,6982.566581,
227.77817,221,6990.14549,
220.0004,195,6995.899598,
226.66705,216,7003.429078,
222.22261,192,7009.165246,
220.00038,199,7016.42771,
222.2226,197,7023.519105,
220.00038,206,7029.685426,
220.00038,199,7037.186128,
225.55594,215,7043.54101,
227.77817,219,7051.279867,
221.11151,207,7057.295873,
218.88928,204,7064.431668,
220.00038,190,7071.356056,
228.88928,223,7077.947758,
220.0004,195,7085.326461,
220.0004,191,7091.234336,
220.0004,190,7098.20261,
227.77817,219,7104.647652,
221.11148,196,7111.815029,
220.0004,187,7118.809582,
222.2226,190,7124.61461,
220.0004,191,7131.909552,
220.0004,187,7137.771234,
220.0004,194,7144.992336,
226.66705,217,7151.288157,
220.0004,195,7158.617525,
220.0004,190,7165.744439,
220.00038,198,7171.709427,
224.44484,213,7179.129438,
220.0004,194,7184.966964,
220.0004,194,7192.138945,
223.33372,211,7198.144262,
220.0004,189,7204.851744,
223.33371,191,7210.362842,
226.66705,219,7217.957519,
220.0004,194,7225.304267,
223.33372,210,7231.572207,
220.00038,197,7238.967944,
220.00038,191,7244.95451,
,
3.3333502,799,5769.991846,
